sample_filename,raw_sha,converted_sha
202404191203_HC_dbgi_002750_01_01.mzML,336a1faf4afdbde8252fc9be0ae4fedb3d246a37,960f99a4c5a92dfb8666be250673b28b2f2c04ac
202405081555_EB_dbgi_002339_01_01.mzML,5356924458cd653030988f93dbd094af3ef7b394,824b8a8780f26fad707e66fbd747407decd7ba2b
202405081555_EB_dbgi_002960_01_01.mzML,e8c287b018523312eec964a50140fea632d20d57,8a2dc3785d85bbb659735c421791081607cbdc35
20240405_EB_dbgi_003027_01_01_100mm_C18_15min_DDA_ELON_pos.mzML,77a00b148b94377a63f967108fc92d83d0b0fdda,d4d8a727d3d01edf3068197237243f14cd42fb4f
20240307_EB_dbgi_002288_01_01.mzML,2bb2760b66a094902e38ac3d714e1db934db89a9,109aaacac0630d28859566ca6f836ffefc11bbfe
20240405_EB_dbgi_002818_01_01_100mm_C18_15min_DDA_ELON_pos.mzML,9e2dd2ca6203eedbc9bb882daf915715d8cc3d8c,e64f1c6b4a81a199784c2740c226dffcdb60efed
20240307_EB_dbgi_002727_01_01.mzML,0894b2cc65981e9bfb9a886c8a4b950317dba641,e1f4f762ef33c69b9119ce5c0a89ed4a5b9ea785
202404191203_HC_dbgi_002859_01_01.mzML,bcce56f66bc82ceb4eca26582f940b7ad3b35153,ecfdc2c02dedb24eff2d99268e2deec5aa374926
202404191203_HC_dbgi_002444_01_01.mzML,74953e7dcdfb037faee93ecf918149edf0f1c66a,794fd00d4dc90c6a4d18f2c0e5fa61fa4b7fdc47
202405081555_EB_dbgi_002360_01_01.mzML,059cac2acbe5eaf4a5af374f2a6e2a51472612d1,4fb044372ba0e830cc979e2309587434f0f83878
20240307_EB_dbgi_002624_01_01.mzML,0f55aa44235c501790f2da52649813df15a7a2ce,80bf6417b6716079196f08ef2abc3caa7a90a6d8
202404191203_HC_dbgi_002770_01_01.mzML,f0f19fb160d6777dcff5d1f5f72d7a71d064e340,ce0cfdb9afcd09a5d35cb5041593bda7e5bf8c08
20240307_EB_dbgi_003021_01_01.mzML,d448222352454d2c788c73902d90fd675add4626,ba73feff0caee8e82d6402d481f977db2ea1fb4e
202404191203_HC_dbgi_002764_01_01.mzML,eb0dab5f9d367ffbf99fb2bb97684f224f0aceec,db2f870e88aa621d9381ca32fae022c4a18384d8
202404191203_HC_dbgi_002943_01_01.mzML,dbda65f8bdb752347ae805b5b82f85818cc065b7,f1e25de2393b07d3c8016668e196fd6b82a992ec
20240405_EB_dbgi_001927_01_01_100mm_C18_15min_DDA_ELON_pos.mzML,0e0fb30653bc68319b71b74248462f0c81dae292,1e6d69cff8a7a996b1be488e94c46fdc1b08bf39
20240405_EB_dbgi_002467_01_01_100mm_C18_15min_DDA_ELON_pos.mzML,19b8e77a8df999aa83d8c613167f278ec2d02a19,a95e6b40d95ae5c1ca748d485eb50597a6eec6f8
202405171439_HC_dbgi_002826_01_01.mzML,9acdd8d6693b275e980f9eb9e9ccb1f0af324234,c13ff70e96dc680e441707cf32ee7b7a5e6d43b8
20240307_EB_dbgi_002425_01_01.mzML,60ac34dcfc0073958809d99d98b3e1015509f09b,f97ea8a03b9904657641bc9e901a6416dc3b6ff4
20240307_EB_dbgi_001893_01_01.mzML,b9e75688bb163bb9635cf0a39896f6de990dbfb2,5937b34e4395a7a60a5846b00c2e6cb298fff3ee
20240307_EB_dbgi_002671_01_01.mzML,2123211bd03ab2493b3400770d7ab3303d13b755,f49a7af0c2ac80baf67263b0a3389e5d10af5f03
20240307_EB_dbgi_002643_01_01.mzML,135dd681dea6e2083f9f0c9c61f8f3f2ced8e295,cfb15cfe08518b065b5ed9d6a37a5df90ac52615
