filename	sample_id	sample_type
20240405_EB_dbgi_002256_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002256_01_01	sample
20240405_EB_dbgi_002261_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002261_01_01	sample
20240405_EB_dbgi_002268_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002268_01_01	sample
20240405_EB_dbgi_002323_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002323_01_01	sample
20240405_EB_dbgi_002326_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002326_01_01	sample
20240405_EB_dbgi_002364_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002364_01_01	sample
20240405_EB_dbgi_002371_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002371_01_01	sample
20240405_EB_dbgi_002386_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002386_01_01	sample
20240405_EB_dbgi_002395_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002395_01_01	sample
20240405_EB_dbgi_002401_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002401_01_01	sample
20240405_EB_dbgi_002410_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002410_01_01	sample
20240405_EB_dbgi_002424_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002424_01_01	sample
20240405_EB_dbgi_002431_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002431_01_01	sample
20240405_EB_dbgi_002439_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002439_01_01	sample
20240405_EB_dbgi_002442_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002442_01_01	sample
20240405_EB_dbgi_002449_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002449_01_01	sample
20240405_EB_dbgi_002450_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002450_01_01	sample
20240405_EB_dbgi_002451_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002451_01_01	sample
20240405_EB_dbgi_002461_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002461_01_01	sample
20240405_EB_dbgi_002466_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002466_01_01	sample
20240405_EB_dbgi_002467_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002467_01_01	sample
20240405_EB_dbgi_002468_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002468_01_01	sample
20240405_EB_dbgi_002473_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002473_01_01	sample
20240405_EB_dbgi_002474_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002474_01_01	sample
20240405_EB_dbgi_002475_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002475_01_01	sample
20240405_EB_dbgi_002476_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002476_01_01	sample
20240405_EB_dbgi_002481_01_01_100mm_C18_15min_DDA_ELON_pos.mzML	dbgi_002481_01_01	sample
