ott_id,organism_otol_kingdom,organism_otol_phylum,organism_otol_class,organism_otol_order,organism_otol_family,organism_otol_genus,organism_otol_species,organism_otol_unique_name,organism_otol_kingdom_ott_id,organism_otol_phylum_ott_id,organism_otol_class_ott_id,organism_otol_order_ott_id,organism_otol_family_ott_id,organism_otol_genus_ott_id,organism_otol_species_ott_id,domain,infrakingdom,no rank,section,subclass,subfamily,subgenus,subkingdom,suborder,subphylum,subtribe,superorder,tribe,domain_ott_id,infrakingdom_ott_id,no rank_ott_id,section_ott_id,subclass_ott_id,subfamily_ott_id,subgenus_ott_id,subkingdom_ott_id,suborder_ott_id,subphylum_ott_id,subtribe_ott_id,superorder_ott_id,tribe_ott_id,flags,rank,varietas,varietas_ott_id
1005124,Archaeplastida,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Pimpinella,Pimpinella saxifraga,Pimpinella saxifraga,5268475.0,916750.0,99252.0,372834.0,372831.0,1005127.0,1005124.0,Eukaryota,,life,,,Apioideae,,,Apiineae,,,campanulids,Pimpinelleae,304358.0,,805080.0,,,79260.0,,,1091578.0,,,596121.0,823080.0,[],species,,
1009699,Archaeplastida,Streptophyta,Magnoliopsida,Lamiales,Acanthaceae,Pachystachys,Pachystachys lutea,Pachystachys lutea,5268475.0,916750.0,99252.0,23736.0,504642.0,1009706.0,1009699.0,Eukaryota,,life,,,,,,,,,,Justicieae,304358.0,,805080.0,,,,,,,,,,777115.0,[],species,,
1011372,Archaeplastida,Streptophyta,Magnoliopsida,Rosales,Ulmaceae,Ulmus,Ulmus pumila,Ulmus pumila,5268475.0,916750.0,99252.0,208031.0,1014672.0,94969.0,1011372.0,Eukaryota,,life,,,,,,,,,,,304358.0,,805080.0,,,,,,,,,,,[],species,,
1011467,Archaeplastida,Streptophyta,Magnoliopsida,Acorales,Acoraceae,Acorus,Acorus gramineus,Acorus gramineus,5268475.0,916750.0,99252.0,276683.0,162554.0,1008191.0,1011467.0,Eukaryota,,life,,,,,,,,,,,304358.0,,805080.0,,,,,,,,,,,[],species,,
1015290,Archaeplastida,Streptophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Acalypha,Acalypha hispida,Acalypha hispida,5268475.0,916750.0,99252.0,429482.0,914245.0,560972.0,1015290.0,Eukaryota,,life,,,Acalyphoideae,,,,,,,Acalypheae,304358.0,,805080.0,,,195930.0,,,,,,,1094341.0,[],species,,
1016745,Archaeplastida,Streptophyta,Magnoliopsida,Gentianales,Rubiaceae,Phuopsis,Phuopsis stylosa,Phuopsis stylosa,5268475.0,916750.0,99252.0,524062.0,1014022.0,352861.0,1016745.0,Eukaryota,,life,,,Rubioideae,,,,,,,Rubieae,304358.0,,805080.0,,,997378.0,,,,,,,521012.0,[],species,,
1017125,Archaeplastida,Streptophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Gomphrena,Gomphrena globosa,Gomphrena globosa,5268475.0,916750.0,99252.0,216628.0,317791.0,202137.0,1017125.0,Eukaryota,,life,,,Gomphrenoideae,,,,,,,,304358.0,,805080.0,,,5919904.0,,,,,,,,[],species,,
1018203,Archaeplastida,Streptophyta,Magnoliopsida,Boraginales,Boraginaceae,Cerinthe,Cerinthe major,Cerinthe major,5268475.0,916750.0,99252.0,5261925.0,147029.0,1018205.0,1018203.0,Eukaryota,,life,,,Boraginoideae,,,,,,,Lithospermeae,304358.0,,805080.0,,,6061933.0,,,,,,,6062009.0,[],species,,
1018720,Archaeplastida,Streptophyta,Magnoliopsida,Piperales,Piperaceae,Peperomia,Peperomia argyreia,Peperomia argyreia,5268475.0,916750.0,99252.0,1022514.0,1022519.0,108956.0,1018720.0,Eukaryota,,life,,,,,,,,,,,304358.0,,805080.0,,,,,,,,,,,[],species,,
1020641,Archaeplastida,Streptophyta,Magnoliopsida,Solanales,Solanaceae,Petunia,Petunia integrifolia,Petunia integrifolia,5268475.0,916750.0,99252.0,1050255.0,473827.0,1020635.0,1020641.0,Eukaryota,,life,,,Petunioideae,,,,,,,,304358.0,,805080.0,,,13861.0,,,,,,,,[],species,,
