cluster index	parent mass	RTMean
395	136.06192058211894	1.5144106
396	127.03918805354972	1.5152199
397	198.09729862883503	1.5177802
398	335.0742187384243	1.5187321
399	365.105507243689	1.5189989
400	263.01642885946933	1.5221034
401	415.1000275328926	1.5257727
402	205.06837334230872	1.5419754
403	305.0997977070268	1.543076
404	184.1333150920358	1.5512103
405	146.11765218607167	1.5543506
406	320.133718097947	1.5590581
407	194.966723431155	1.5596908
408	121.06507630773922	1.5627283
409	152.07075080923602	1.5655327
410	356.1105563395914	1.5700829
411	120.0810620728308	1.574411
412	192.1019310429201	1.5766929
413	251.13899155087867	1.577103
414	166.08634230548577	1.5779154
415	153.07382186826368	1.5791451
416	268.104008000332	1.5866152
417	178.08631740369148	1.5997927
418	200.1282135086128	1.6036302
419	153.05466977197116	1.6065845
420	315.10734337088286	1.6065845
421	332.1339120349263	1.6065845
422	337.0892827770827	1.6065845
423	353.0633361073791	1.6065845
424	360.16564648997763	1.6065845
425	399.0597897901088	1.6065845
426	135.04418449527515	1.61377
427	377.1208668043831	1.614116
428	187.08667223834848	1.6167927
429	867.2132871535547	1.6217552
430	221.12843795828067	1.6223803
431	327.047783572398	1.6315227
432	311.073732416211	1.6316017
433	289.09173777456016	1.6330234
434	127.0391713524536	1.6334543
435	400.1459796696692	1.6372122
436	347.13124500252025	1.6494
437	363.1052731869283	1.6494
438	370.20732218043406	1.6494
439	577.1341704015001	1.6511697
440	355.0795430552446	1.6513627
441	151.07546011196123	1.6515054
442	147.04411066782632	1.6526828
443	330.08213424183737	1.653801
444	142.08632906497786	1.6635801
445	304.1390248434228	1.6635801
446	342.0949857623824	1.6635801
447	201.11217677756403	1.6662244
448	209.0444492477868	1.6662244
449	245.06559848635712	1.6662244
450	262.09210882171925	1.6662244
451	385.14688100638193	1.6662244
452	408.2227329461253	1.6662244
453	401.1209568782763	1.6707869
454	337.06846557385666	1.6745955
455	307.0813045840485	1.6767849
456	434.1811401711477	1.6789654
457	324.22831536163386	1.6791866
458	334.1495745910679	1.6837629
459	316.1390738793368	1.6930299
460	268.1543248277325	1.694678
461	239.139030369514	1.6962252
462	250.1437854186082	1.7006692
463	153.05469522675315	1.7007694
464	368.09760686744113	1.7060225
465	219.1339675115097	1.7136996
466	286.1437707016093	1.7156501
467	377.119124522468	1.7156501
468	303.0842683591454	1.7159685
469	371.07410194597537	1.7174774
470	171.06523786668595	1.7185407
471	350.14482845414165	1.7185407
472	329.0634015875579	1.7187254
473	336.1653153403944	1.7187254
474	358.0899103948033	1.7212769
475	353.084422536902	1.7214577
476	365.1919442417785	1.7224677
477	348.1290616199627	1.7238412
478	378.1758624333708	1.7252668
479	355.1001531912492	1.7269821
480	324.0995118601478	1.7275832
481	190.0862783329053	1.7283171
482	342.11605212892016	1.7284788
483	250.1073981141234	1.7290635
484	147.04413559976845	1.7310588
485	258.07390584886286	1.7427408
486	220.11798836416904	1.7432694
487	135.04419936994134	1.7441128
488	332.1340150959056	1.7441128
489	360.16592063113484	1.7441128
490	566.2235546508122	1.7476941
491	242.0998378607092	1.7480787
492	158.0812528962053	1.7508448
493	180.0631488454959	1.754755
494	196.0371350858234	1.754755
495	303.1339236664304	1.756473
496	242.14984942837737	1.765355
497	267.0484439873724	1.7699049
498	188.07066760486384	1.7702317
499	310.14964812777794	1.7723513
500	331.0791040379473	1.773017
501	145.04962003956516	1.7755997
502	337.08935055835303	1.7816317
503	353.0634747958504	1.7829093
504	163.03896083389202	1.7834259
505	251.138663132224	1.7866883
506	315.1059310283628	1.7882258
507	517.1555833651762	1.7934303
508	323.1099967985681	1.7952818
509	328.16018366323283	1.7953757
510	333.1155711259923	1.7953757
511	349.08963320272244	1.7953757
512	356.1914833094229	1.7953757
513	249.12348301490687	1.7957516
514	346.18589435951355	1.7976813
515	155.07027674504113	1.7979456
516	339.0841064124064	1.8016039
517	339.04777368602885	1.8017362
518	338.1811052829904	1.804301
519	192.10188865763223	1.8051997
520	281.1232125252915	1.8070865
521	326.1809852066671	1.8070865
